symbol,dataset_path,file_exists,dataset_rows,first_timestamp,last_timestamp,total_baseline_trades,executed_short1_trades,executed_short1_losers,executed_short1_winners,executed_short1_avg_pnl,starter_short_signal_opportunities,starter_short_signal_executed,starter_short_signal_blocked,starter_short_signal_skipped_flat_or_cooldown,starter_fwd_24bar_favorable_count,starter_fwd_24bar_favorable_share,starter_avg_fwd_24bar_short_return,starter_avg_fwd_24bar_mfe_atr,starter_avg_fwd_24bar_mae_atr,material_classification,usable_for_short1_structural_discovery
BTCUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\BTCUSDT_4h.csv,True,15947,2019-01-01 00:00:00+00:00,2026-04-12 12:00:00+00:00,91,1,1,0,-28.43767384136623,2,1,1,0,0,0.0,-0.0054221234930701325,1.1607584968870566,2.560386868269284,too_sparse,False
ETHUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\ETHUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,85,1,1,0,-22.592175991257758,3,1,2,0,1,0.3333333333333333,-0.06588209078619701,2.5587634016143346,9.117223124050023,too_sparse,False
BNBUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\BNBUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,80,0,0,0,,0,0,0,0,0,,,,,too_sparse,False
SOLUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\SOLUSDT_4h.csv,True,12628,2020-08-11 04:00:00+00:00,2026-05-16 16:00:00+00:00,58,6,3,3,-44.195363943908966,12,6,6,0,7,0.5833333333333334,-0.04553625489584937,3.718404100724395,4.84475565815026,borderline_material,False
XRPUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\XRPUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,50,13,11,2,-40.417630929685565,34,13,21,0,18,0.5294117647058824,-0.012478792040248073,2.3312732038175072,3.9280270579504286,usable_for_short1_discovery,True
ADAUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\ADAUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,52,13,9,4,-47.87112667158696,36,13,23,0,11,0.3055555555555556,-0.01340234426047267,2.3708206514185854,2.6472126788312966,usable_for_short1_discovery,True
LTCUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\LTCUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,61,12,9,3,-46.65877516935699,34,12,22,0,10,0.29411764705882354,-0.02341183822355808,1.8696264941445835,3.0021988828147586,usable_for_short1_discovery,True
TRXUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\TRXUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,87,3,2,1,-19.155850862802943,4,3,1,0,3,0.75,0.030613359088677697,4.189339186730413,1.3839733821488047,borderline_material,False
ETCUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\ETCUSDT_4h.csv,True,16152,2019-01-01 00:00:00+00:00,2026-05-16 16:00:00+00:00,39,10,6,4,-20.249577616088036,29,10,19,0,13,0.4482758620689655,-0.018588145403762902,2.110555109307866,3.343884759092377,usable_for_short1_discovery,True
LINKUSDT,C:\Users\matra\OneDrive\Desktop\Bot\0412_Bot\data\LINKUSDT_4h.csv,True,16060,2019-01-16 08:00:00+00:00,2026-05-16 16:00:00+00:00,67,3,1,2,40.40863244231662,13,3,10,0,5,0.38461538461538464,0.011403118530200847,3.3604826996388146,2.4545623312161267,borderline_material,False
