symbol,base_population,comparison,failure_bucket,clean_count,failure_count,clean_avg,failure_avg,avg_delta_clean_minus_failure,clean_median,failure_median,median_delta_clean_minus_failure,supports_higher_clean_displacement,contradicts_higher_clean_displacement,sample_too_small_to_interpret
FILUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,6,11,0.3921946162525696,0.3702238340040095,0.021970782248560083,0.3581774630913209,0.2355471348633517,0.12263032822796924,True,False,False
DOTUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,11,4,0.47780359677890716,0.4207474311250668,0.05705616565384036,0.5289844243440407,0.4021960244899504,0.1267883998540903,True,False,False
ATOMUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,7,7,0.42679882464716556,0.29259401612072045,0.13420480852644512,0.4359324534918558,0.2564503334909644,0.17948212000089137,True,False,False
UNIUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,7,5,0.40443420013929327,0.37411185506328326,0.030322345076010004,0.3961379251092972,0.3393985583620391,0.0567393667472581,True,False,False
ADAUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,6,5,0.5045251528297333,0.456768171120501,0.047756981709232316,0.5196434975178017,0.4393431585594495,0.0803003389583522,True,False,False
XRPUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,5,6,0.3722831346335994,0.3475536657388571,0.024729468894742312,0.3273535892781495,0.36673397456259005,-0.039380385284440544,True,False,False
LTCUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,3,7,0.32942670448506384,0.3799748969236255,-0.05054819243856168,0.2344274112247347,0.3962786045086474,-0.16185119328391268,False,True,False
DOGEUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,3,8,0.46436955868843904,0.4067356103189383,0.057633948369500754,0.5101953493345212,0.4139210212701035,0.09627432806441766,True,False,False
NEARUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,7,2,0.417158496076296,0.26295156378409623,0.15420693229219978,0.3888556665220594,0.26295156378409623,0.12590410273796315,True,False,True
ETCUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,4,5,0.6080396308828875,0.45339031613429415,0.15464931474859334,0.6418574451661074,0.4811916288983357,0.1606658162677717,True,False,False
AAVEUSDT,executed_short1,clean_followthrough_vs_adverse_dominant,adverse_dominant,2,6,0.46893254093797027,0.27433442026720395,0.19459812067076632,0.46893254093797027,0.3012422411134274,0.16769029982454287,True,False,True
FILUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,6,3,0.3921946162525696,0.43684678876773875,-0.044652172515169175,0.3581774630913209,0.6329072449788801,-0.27472978188755914,False,True,False
DOTUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,11,0,0.47780359677890716,,,0.5289844243440407,,,,False,True
ATOMUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,7,1,0.42679882464716556,0.4586767362345866,-0.03187791158742104,0.4359324534918558,0.4586767362345866,-0.022744282742730826,False,True,True
UNIUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,7,4,0.40443420013929327,0.42458196383759267,-0.020147763698299404,0.3961379251092972,0.3121667239384254,0.08397120117087181,False,True,False
ADAUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,6,0,0.5045251528297333,,,0.5196434975178017,,,,False,True
XRPUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,5,1,0.3722831346335994,0.3082846732645701,0.06399846136902931,0.3273535892781495,0.3082846732645701,0.019068916013579407,True,False,True
LTCUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,3,0,0.32942670448506384,,,0.2344274112247347,,,,False,True
DOGEUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,3,0,0.46436955868843904,,,0.5101953493345212,,,,False,True
NEARUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,7,1,0.417158496076296,0.5148655871421335,-0.09770709106583747,0.3888556665220594,0.5148655871421335,-0.1260099206200741,False,True,True
ETCUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,4,0,0.6080396308828875,,,0.6418574451661074,,,,False,True
AAVEUSDT,executed_short1,clean_followthrough_vs_weak_followthrough,weak_followthrough,2,1,0.46893254093797027,0.7134676745044827,-0.2445351335665124,0.46893254093797027,0.7134676745044827,-0.2445351335665124,False,True,True
FILUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,6,0,0.3921946162525696,,,0.3581774630913209,,,,False,True
DOTUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,11,0,0.47780359677890716,,,0.5289844243440407,,,,False,True
ATOMUSDT,executed_short1,clean_followthrough_vs_failed_no_followthrough,failed_no_followthrough,7,0,0.42679882464716556,,,0.4359324534918558,,,,False,True
