base_population,path_bucket,count,entry_adx_avg,entry_adx_median,entry_exec_distance_atr_avg,entry_exec_distance_atr_median,entry_atr_ratio_avg,entry_atr_ratio_median,plus_di_avg,plus_di_median,minus_di_avg,minus_di_median,di_spread_avg,di_spread_median,entry_short_resumption_strong_avg,entry_short_resumption_strong_median,entry_short_resumption_avg,entry_short_resumption_median,entry_short_pullback_avg,entry_short_pullback_median,entry_exec_bear_momentum_avg,entry_exec_bear_momentum_median,entry_short_squeeze_risk_avg,entry_short_squeeze_risk_median,entry_short_squeeze_pass_avg,entry_short_squeeze_pass_median
executed_short1,clean_followthrough,61,24.537588195260575,22.88069927247729,1.1155052253972513,1.1805437597817925,0.9970995045345176,0.9699150681152005,16.734943538080227,17.03607617983211,24.146634321207905,23.920617123661984,-7.411690783127673,-7.171451206863612,0.5081967213114754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
executed_short1,adverse_dominant,66,27.49985713481971,25.97336274651228,1.2206510366089676,1.3014798316741338,1.018147068919869,0.9935399575138815,16.84660697251007,16.934111451574815,23.706181590476596,23.51584596155294,-6.85957461796653,-6.028993750166391,0.2878787878787879,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
executed_short1,weak_followthrough,11,24.95871614367587,23.60661249678235,1.3601290978501135,1.41554349419843,1.0062783921042449,1.014176583048105,17.595345061703032,17.207284184933837,23.473923406068085,22.81892643375533,-5.878578344365054,-6.232355424776081,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
executed_short1,failed_no_followthrough,1,27.1019765284108,27.1019765284108,1.15431678496516,1.15431678496516,1.2253175610858529,1.2253175610858529,13.176571345723726,13.176571345723726,24.67723338978751,24.67723338978751,-11.500662044063784,-11.500662044063784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
executed_short1,mixed_chop,16,26.989963742787175,25.563706405137374,1.2501037092964395,1.341788965041656,0.9808637760710968,0.9793236878389466,17.13624659606871,16.957478554398897,24.969025936062806,26.75300926563195,-7.8327793399940955,-7.947767169029054,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
executed_short1,all_non_clean,94,27.111466435016396,25.556948432989216,1.2412804747473543,1.3275551166548172,1.0126160302136324,0.9935399575138815,16.94448268880022,16.934111451574815,23.904285008563797,23.635413539701574,-6.959802319763572,-6.324732289417676,0.3829787234042553,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,clean_followthrough,176,24.412010188591136,22.795826666995467,1.1616595331256736,1.1887572662680614,1.0107603773834755,0.9848913384500497,16.226528322624635,16.12602014144291,24.280604607212272,23.89151864401152,-8.054076284587635,-7.74878040855961,0.4659090909090909,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,adverse_dominant,227,26.76260514141158,25.30873643612044,1.1830802149305053,1.1944666796778214,1.0234835338132693,0.9983188430633444,16.699433765468605,16.906876389595755,23.148116578936293,23.20925283674809,-6.448682813467689,-5.745560691518122,0.3303964757709251,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,weak_followthrough,41,24.933520051828662,24.053147589524198,1.2393913786619906,1.270285452768108,0.9941131642182681,0.9912102395121516,17.14479256728208,17.207284184933837,23.276772815726716,22.235784139208263,-6.131980248444635,-5.609057302874703,0.3902439024390244,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,failed_no_followthrough,1,27.1019765284108,27.1019765284108,1.15431678496516,1.15431678496516,1.2253175610858529,1.2253175610858529,13.176571345723726,13.176571345723726,24.67723338978751,24.67723338978751,-11.500662044063784,-11.500662044063784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,mixed_chop,29,26.620329348871064,26.011318109022817,1.2510904224205774,1.3039567782185226,0.9949476415069829,0.9898246489366422,16.75985522491874,16.624996340570288,23.944235786057785,23.267829904562085,-7.184380561139043,-7.7841572266512,0.5172413793103449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
starter_short_signal,all_non_clean,298,26.49824569419824,25.08574452230944,1.1973496454682153,1.2175433612265874,1.017342956621978,0.996848815689099,16.75476621774599,16.899091168730937,23.248423557210725,23.14500318085589,-6.493657339464736,-5.781768402938357,0.35906040268456374,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
