symbol,executed_short1_count,executed_followthrough_count,executed_adverse_count,starter_short_signal_count,starter_followthrough_count,starter_adverse_count,executed_follow_entry_exec_distance_atr_avg,executed_adverse_entry_exec_distance_atr_avg,executed_follow_lower_extension,starter_follow_entry_exec_distance_atr_avg,starter_adverse_entry_exec_distance_atr_avg,starter_follow_lower_extension,both_populations_lower_extension,executed_avg_pnl_followthrough,executed_avg_pnl_adverse
FILUSDT,23,6,17,74,21,53,1.0232641256199513,1.2825670887861362,True,1.1058412697463909,1.2412764826713638,True,True,152.96531313555946,-70.33518983806869
DOTUSDT,18,11,7,63,33,30,1.2738918274933873,1.1864554630404072,False,1.2477548205100786,1.2724429195087261,True,False,44.71600064756888,22.200108078756468
ATOMUSDT,18,7,11,56,18,38,1.2044182351280017,1.2492155889761445,True,1.2321782464807038,1.2839697067234428,True,True,32.76833916668521,13.89223314134045
UNIUSDT,16,7,9,42,19,23,1.0520260063543236,1.3276131870037835,True,1.1545430463225779,1.353237116365417,True,True,51.08402053580489,-53.99320192385122
ADAUSDT,13,6,7,36,10,26,1.1312122074076874,1.2203998760185129,True,1.1097298319659776,1.076878064886249,False,False,21.880835395287264,-107.65852272890773
XRPUSDT,13,5,8,34,15,19,0.8975027705893035,1.0847622781269277,True,1.1163815115426208,1.0265033014913179,False,False,-14.405659441314436,-56.67511310991753
LTCUSDT,12,3,9,34,9,25,0.9859547116273406,1.1956324681107973,True,1.2498195988106835,1.1827576046332633,False,False,-14.476342886238735,-57.386252597063084
DOGEUSDT,11,3,8,56,18,38,1.06803104754686,1.098325074992942,True,0.9965158369749463,1.1074463744607954,True,True,7.542023648915385,-66.18967961591568
NEARUSDT,11,7,4,28,15,13,1.191204871782723,1.4536765915775156,True,1.265208983973094,1.1363034870012596,False,False,64.07040337972403,-100.8426570648366
ETCUSDT,10,4,6,29,11,18,1.0986372073820823,1.2474860963663559,True,1.0781168507870689,1.0451183138704707,False,False,56.42936313249949,-71.36887144847974
AAVEUSDT,10,2,8,22,7,15,0.964293447893221,1.3517290749048225,True,1.153124743704525,1.3463720606256333,True,True,-67.76858094342637,-113.9300627180158
