field,executed_winner_avg,executed_loser_avg,executed_delta_winner_minus_loser,starter_favorable_avg,starter_unfavorable_avg,starter_delta_favorable_minus_unfavorable,directionally_consistent,combined_abs_delta
fwd_24bar_mfe_atr,3.630773561609028,1.476250519760094,2.1545230418489343,4.716719814463396,1.0562248875310798,3.6604949269323157,True,5.81501796878125
fwd_24bar_mae_atr,1.3655885657048878,3.47253097231981,-2.1069424066149223,1.7135083584195756,3.8309941228166884,-2.117485764397113,True,4.224428171012035
entry_adx,25.812479503126905,25.899155000047102,-0.08667549692019705,22.47079597959764,25.74306863748414,-3.2722726578865,True,3.358948154806697
entry_minus_di,25.60230480469939,25.60243704972946,-0.0001322450300698108,23.12926627868869,24.11515634682486,-0.9858900681361717,True,0.9860223131662416
entry_short_resumption_strong_pass_share,0.0,0.5,-0.5,0.3076923076923077,0.3333333333333333,-0.025641025641025605,True,0.5256410256410255
entry_exec_distance_atr,1.1177690757865637,1.2574276082861302,-0.1396585324995665,1.1405093107184443,1.2366057951578526,-0.09609648443940833,True,0.23575501693897483
fwd_24bar_short_return,0.03175537126542849,-0.038356320842988643,0.07011169210841714,0.07506411896722606,-0.05785164935408207,0.13291576832130814,True,0.20302746042972528
entry_atr,0.14081565758119302,0.08796361526558757,0.052852042315605446,0.11253126239141586,0.09866206598356342,0.013869196407852447,True,0.06672123872345789
entry_atr_ma,0.13552685714082655,0.08936073839758413,0.04616611874324242,0.10886233683344969,0.09649853824859252,0.012363798584857172,True,0.05852991732809959
entry_rsi,46.13393447576989,44.50718536544919,1.6267491103207021,43.804630538029755,44.66473608522339,-0.8601055471936334,False,2.4868546575143355
entry_plus_di,17.856373522343024,16.682377515682052,1.1739960066609711,16.071324967191746,17.19840265783905,-1.1270776906473046,False,2.3010736973082757
entry_close_minus_cont_low_atr,2.486864834621031,1.3908863014980029,1.0959785331230283,1.174412288039663,1.5590767915088506,-0.38466450346918757,False,1.4806430365922159
entry_di_spread,-7.745931282356361,-8.920059534047404,1.1741282516910427,-7.057941311496942,-6.9167536889858106,-0.14118762251113104,False,1.3153158742021738
entry_short_ema20_gap_atr,0.224345643078256,0.4589891532602155,-0.2346435101819595,0.5052439687608238,0.41568422575038433,0.08955974301043945,False,0.32420325319239895
entry_close_minus_ema20_atr,-0.224345643078256,-0.4589891532602155,0.2346435101819595,-0.5052439687608238,-0.41568422575038433,-0.08955974301043945,False,0.32420325319239895
entry_high_minus_ema50_atr,-0.5979689208604834,-0.4945190750918733,-0.10344984576861005,-0.3942078463499274,-0.5258671908667435,0.1316593445168161,False,0.23510919028542615
entry_atr_ratio,1.0361215602107507,1.0117866946510554,0.02433486555969533,1.0186246794206477,1.0301920063241188,-0.011567326903471065,False,0.035902192463166394
entry_weekly_bear_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_daily_bear_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_bear_structure_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_slope_down_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_adx_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_atr_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_distance_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_distance_cap_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_ema20_proximity_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_exec_bear_momentum_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_squeeze_risk_pass_share,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0
entry_short_squeeze_pass_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_pullback_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_short_resumption_pass_share,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0
entry_add_short_signal_pass_share,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0
