Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,direction,is_winner,is_loser_nonpositive,entry_open,entry_high,entry_low,entry_close,entry_ema20,entry_ema50,entry_ema200,entry_atr,entry_atr_ma,entry_atr_ratio,entry_rsi,entry_plus_di,entry_minus_di,entry_di_spread,entry_adx,entry_exec_distance_atr,entry_short_ema20_gap_atr,entry_weekly_bear,entry_daily_bear,entry_exec_bear_structure,entry_exec_slope_down,entry_exec_adx_pass,entry_exec_atr_pass,entry_exec_distance_pass,entry_short_distance_cap_pass,entry_short_ema20_proximity_pass,entry_exec_bear_momentum,entry_short_squeeze_risk,entry_short_squeeze_pass,entry_short_pullback,entry_short_resumption,entry_short_resumption_strong,entry_cont_low,entry_add_short_signal,entry_regime_label,entry_close_minus_ema20_atr,entry_high_minus_ema50_atr,entry_close_minus_cont_low_atr,fwd_24bar_short_return,fwd_24bar_mfe_atr,fwd_24bar_mae_atr,followthrough_label,population
-56.520218740000004,3306,3786,17.87,5.8,24259496.22583129,,681.5301234030122,0.6689167887879,0.6747714045886961,2022-04-29 00:00:00+00:00,2022-07-18 00:00:00+00:00,80 days 00:00:00,Short1,short,True,False,18.09,18.2,17.68,17.87,17.993550471854796,18.49545702612238,19.90389091928376,0.49027031181667274,0.4788109331017648,1.0239329930097323,45.51183028698741,17.434728247990016,19.212271460207443,-1.7775432122174273,19.87855506340703,1.2757391403219567,0.2520047999581798,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,17.38,False,other,-0.2520047999581798,-0.602641071672441,0.9994486473886841,0.17291550083939572,12.27894052506093,0.34674748991035464,True,executed_short1_followthrough
-175.31520763,4053,4074,5.8,6.29,33668948.841594756,,-86.96423216882343,1.0597804301233502,-0.08552500000000011,2022-08-31 12:00:00+00:00,2022-09-04 00:00:00+00:00,3 days 12:00:00,Short1,short,False,True,5.82,5.88,5.69,5.8,5.838663900460543,6.061905511970575,6.8197470120806845,0.16414506796261083,0.16442148628481376,0.9983188430633444,45.400606608233105,15.783744675070894,25.78938067365388,-10.005635998582987,26.07056386605112,1.5955734474473033,0.23554713486335174,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,5.57,False,other,-0.23554713486335174,-1.108199681101655,1.4011995782437352,-0.07068965517241382,1.2793561366573258,6.0921720793206,False,executed_short1_adverse
-175.16534423000002,4099,4110,5.8,6.320000000000001,26734780.39804279,,-92.14748098563403,1.0615019860338002,-0.09070000000000018,2022-09-08 04:00:00+00:00,2022-09-10 00:00:00+00:00,1 days 20:00:00,Short1,short,False,True,5.86,5.92,5.72,5.8,5.901390031976499,5.980749959331874,6.510358687178126,0.17846907022935954,0.19001792457565958,0.9392222898334961,44.15691370730213,19.41861024588165,23.62353362844919,-4.204923382567543,18.694119057114534,1.0127803047305797,0.5681098234343782,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,5.52,False,other,-0.5681098234343782,-0.34039488889475955,1.5688993036169137,-0.12413793103448272,0.560321179863181,6.667822040371879,False,executed_short1_adverse
-184.88852135,4262,4410,5.49,5.74,22268041.707795385,,-47.2602793848803,1.0381490473802502,-0.046560109289617464,2022-10-05 08:00:00+00:00,2022-10-30 00:00:00+00:00,24 days 16:00:00,Short1,short,False,True,5.56,5.58,5.47,5.49,5.555880296660857,5.598156603884039,5.850439885763127,0.10399588410347423,0.11384873494679379,0.913456650634509,41.68134418509496,13.277182235995907,21.705430439359866,-8.428248203363959,23.293294957546106,1.0400085043406606,0.633489461903193,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,5.47,False,other,-0.633489461903193,-0.1745896392012354,0.19231530336432145,0.01092896174863397,1.3462071235502246,1.5385224269145374,False,executed_short1_adverse
-230.58309446,4649,4812,4.4,3.3120000000000003,13597497.141435161,,249.9852783602423,0.8891284122377601,0.24639636363636366,2022-12-08 20:00:00+00:00,2023-01-05 00:00:00+00:00,27 days 04:00:00,Short1,short,True,False,4.44,4.44,4.38,4.4,4.43144730349606,4.446868400648158,4.584357438096158,0.0838496821162114,0.0871955740047421,0.9616277325228831,45.14010076699831,14.366300875725987,24.848021334200425,-10.481720458474438,29.722161117762536,0.5589574040745916,0.3750438010304563,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,4.19,False,other,-0.3750438010304563,-0.08191325804477037,2.5044817666565584,0.03409090909090917,2.7430038396714744,0.8348272555521792,True,executed_short1_followthrough
-184.18403098000002,5343,5370,5.522,5.848,20559633.864562597,,-61.09108031560125,1.0470862161213002,-0.06006609923940596,2023-04-03 12:00:00+00:00,2023-04-08 00:00:00+00:00,4 days 12:00:00,Short1,short,False,True,5.566,5.601,5.476,5.522,5.594026982898797,5.621623633970256,5.819647580715788,0.12694953128480901,0.13578467137528408,0.9349327136782889,44.75092802012343,18.512606811030224,26.91650374309547,-8.403896932065244,16.168790685157088,0.7847499156712303,0.5673670644534001,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,5.336,False,other,-0.5673670644534001,-0.16245537704261068,1.465149166897767,-0.07044549076421575,1.1579404706127536,3.371418513076583,False,executed_short1_adverse
-192.9120542,5485,5676,5.269,4.656,8843040.915582193,,117.29776315563268,0.9573260689675,0.11539903207439761,2023-04-27 04:00:00+00:00,2023-05-29 00:00:00+00:00,31 days 20:00:00,Short1,short,True,False,5.278,5.346,5.218,5.269,5.301511507078724,5.442293655545154,5.714483327948145,0.13901046746516388,0.12074690927904208,1.1512548709956238,46.84051262379849,20.951324890039775,27.60081563198325,-6.649490741943474,24.564859561544313,1.246623068788556,0.233878122069273,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,5.018,False,other,-0.233878122069273,-0.692707947114023,1.805619422601403,-0.017840197380907252,0.43162217273340614,2.8918685573137983,False,executed_short1_adverse
-326.6857159,6313,6432,3.115,3.453,7037322.834933026,,-111.49260786521542,1.0728358910156,-0.10956147672552152,2023-09-12 04:00:00+00:00,2023-10-02 00:00:00+00:00,19 days 20:00:00,Short1,short,False,True,3.121,3.136,3.085,3.115,3.1226947050595446,3.1777840308786462,3.45394146104833,0.06401784139998215,0.05116974395537925,1.2510877806190828,46.33665605256036,16.906876389595755,30.738240906774468,-13.831364517178713,40.3640617463292,0.9807270833512287,0.12019625921886425,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,2.95,False,other,-0.12019625921886425,-0.6526935298799028,2.57740649156043,-0.082182985553772,0.5935845253290726,5.389122664171803,False,executed_short1_adverse
-172.31931448,7691,7914,5.899,6.002000000000001,15446050.659205096,,-18.774275472253297,1.02538608081324,-0.018469316833361685,2024-04-28 20:00:00+00:00,2024-06-05 00:00:00+00:00,37 days 04:00:00,Short1,short,False,True,6.09,6.096,5.861,5.899,5.989252927129399,6.135469993537173,7.145528888351559,0.1528586829369249,0.16481831771239,0.9274374660446734,43.85021018302945,18.25883420949552,27.284842650948228,-9.026008441452706,23.732875684062908,1.5469843714062956,0.5904337614019627,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,5.667,False,other,-0.5904337614019627,-0.25821230942739265,1.5177417176604349,-0.0049160874724529435,4.546683162818973,0.8439167309404968,False,executed_short1_adverse
-231.87861903,8057,8166,4.383,4.53,18012842.088247474,,-35.11952406311718,1.033367065707195,-0.03455544147843946,2024-06-28 20:00:00+00:00,2024-07-17 00:00:00+00:00,18 days 04:00:00,Short1,short,False,True,4.462,4.477,4.38,4.383,4.443251025466205,4.488464798003405,5.112056339070804,0.08859324208284296,0.09695865124378807,0.9137218901703621,44.43738431357878,19.68092397759317,21.68731007025074,-2.006386092657568,20.314211480611778,1.1904384073086036,0.6800860206680873,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,4.283,False,other,-0.6800860206680873,-0.12940939662964557,1.128754266679735,-0.007985398129135329,0.9368660413441855,1.9978950520231336,False,executed_short1_adverse
-290.27799071,8351,8394,3.5,4.2,12519548.464234348,,-204.3121637612336,1.1175702642335001,-0.20110000000000017,2024-08-16 20:00:00+00:00,2024-08-24 00:00:00+00:00,7 days 04:00:00,Short1,short,False,True,3.545,3.575,3.488,3.5,3.5709639879530237,3.6299589344211025,3.95815753175485,0.09408415112751035,0.09474357182729695,0.9930399425832434,43.134380622348594,16.01800205878159,25.704953829274007,-9.686951770492417,18.543050137337318,1.3813052768576484,0.7542608091010744,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,3.408,False,other,-0.7542608091010744,-0.5841465726423741,0.9778480105040682,-0.04342857142857147,0.15943174084305578,2.1789004581884117,False,executed_short1_adverse
-304.3923347,8480,8562,3.331,3.7270000000000003,11566383.060540698,,-121.61356509035642,1.0742005491562998,-0.11994265986190342,2024-09-07 08:00:00+00:00,2024-09-21 00:00:00+00:00,13 days 16:00:00,Short1,short,False,True,3.339,3.36,3.33,3.331,3.349187842372088,3.450197507481579,3.7117622706089595,0.07865744631999094,0.08554085756873746,0.919530719653877,45.15175462683468,14.364655138969871,27.360586429862177,-12.995931290892306,39.56250618910797,1.515400169446957,0.23122848786747077,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,3.144,False,other,-0.23122848786747077,-1.1467128886264824,2.377397293566514,-0.06784749324527169,0.15256025413261082,4.602234333000423,False,executed_short1_adverse
-277.83685569,8667,8706,3.645,3.8279999999999994,10358748.29112618,,-51.882282002555606,1.038137411285685,-0.0512308641975307,2024-10-08 12:00:00+00:00,2024-10-15 00:00:00+00:00,6 days 12:00:00,Short1,short,False,True,3.727,3.743,3.392,3.645,3.698728534458653,3.719805508855121,3.738887707728027,0.0988351724740373,0.07715536237244484,1.2809890257133332,45.12823533678909,10.181125616158594,35.03850779148702,-24.857382175328425,22.880699272477294,0.756871334187954,0.5436175514619218,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,3.644,False,other,-0.5436175514619218,0.23467851134647025,0.010117855566676699,0.0038408779149520533,2.134867524569017,0.3237713781336903,True,executed_short1_followthrough
-302.59993287000003,8836,8844,3.3450000000000006,3.7790000000000004,13373577.332620941,,-132.40623182646286,1.0778609608829401,-0.1308107623318384,2024-11-05 16:00:00+00:00,2024-11-07 00:00:00+00:00,1 days 08:00:00,Short1,short,False,True,3.393,3.432,3.332,3.345,3.3720810754347683,3.4583821807566792,3.6098420590304867,0.07392618690065056,0.07172681467749734,1.0306631799145436,44.36495854498194,16.961346513553877,23.338561025475332,-6.377214511921455,33.03684546838158,1.5337214796301266,0.36632587950413825,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,3.2,False,other,-0.36632587950413825,-0.3568719267522121,1.9614159214631968,-0.15934230194319876,0.12174305719427198,8.57612202901839,False,executed_short1_adverse
-318.28506765000003,9513,9738,3.176,2.757,16802233.630262323,,132.41725069216625,0.944192653183725,0.1309929156171284,2025-02-26 12:00:00+00:00,2025-04-05 00:00:00+00:00,37 days 12:00:00,Short1,short,True,False,3.182,3.214,3.073,3.176,3.1868509158545817,3.274562424514345,3.7414694822926324,0.10797849775956847,0.09636347455675029,1.1205334620430054,46.69608770119966,14.567070890838767,27.040995404071875,-12.473924513233108,29.271929037104485,0.9127967749080003,0.10049145042509154,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,2.8,False,other,-0.10049145042509154,-0.5608748572257137,3.482174764435276,-0.03935768261964735,1.6947818667331274,1.9170483410587793,False,executed_short1_adverse
-390.65877483,10102,10314,2.591,2.435,6473985.44112125,,59.96104337233229,0.98172550114779,0.05923851794673878,2025-06-04 16:00:00+00:00,2025-07-10 00:00:00+00:00,35 days 08:00:00,Short1,short,True,False,2.627,2.629,2.591,2.591,2.6111868110702807,2.658410298748451,2.774672713742855,0.059144896203660306,0.06276427543548264,0.9423337685855577,45.74913063609164,14.426405251063962,33.173958105355766,-18.747552854291804,32.22032508230601,1.1397483650377729,0.3413111251521856,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,2.4,False,other,-0.3413111251521856,-0.49725843878699183,3.2293572608921046,0.03280586646082609,4.598875261584565,0.1859839260199584,True,executed_short1_followthrough
-421.99841516000004,10568,10578,2.4,2.516,9616013.84297391,,-49.989088263023355,1.03727210446328,-0.049357500000000006,2025-08-21 08:00:00+00:00,2025-08-23 00:00:00+00:00,1 days 16:00:00,Short1,short,False,True,2.432,2.436,2.39,2.4,2.4328793396363184,2.4735370556822813,2.5109757406640365,0.05194969704828656,0.056277068449463584,0.9231059555800606,42.20205221319361,12.900798015109018,24.513818878736924,-11.613020863627906,23.60661249678235,1.41554349419843,0.6329072449788801,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,2.315,False,other,-0.6329072449788801,-0.7225654395518647,1.6361981845821658,0.039583333333333234,2.406173800856127,4.100120156658842,False,executed_short1_adverse
-435.58371571000004,10601,10650,2.324,2.293,7383154.266521087,,12.497550179293356,1.005545007716535,0.012345740103270103,2025-08-26 20:00:00+00:00,2025-09-04 00:00:00+00:00,8 days 04:00:00,Short1,short,True,False,2.346,2.358,2.321,2.324,2.3380916890692696,2.398817771424405,2.477570698348225,0.0630369356160852,0.061651004340163865,1.0224802708529184,46.05951972603274,21.351203235219117,25.10428755786868,-3.7530843226495634,20.97637907023977,1.1868878252596058,0.22354654349146263,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,2.136,False,other,-0.22354654349146263,-0.6475215050585262,2.9823784764059433,0.014199655765920792,1.5229166688030316,1.2373697934024723,True,executed_short1_followthrough
-464.20058155000004,10807,10830,2.181,2.364,6667699.270224428,,-86.00360224522224,1.0548958215723752,-0.08494841815680856,2025-09-30 04:00:00+00:00,2025-10-04 00:00:00+00:00,3 days 20:00:00,Short1,short,False,True,2.19,2.204,2.174,2.181,2.1890004951130067,2.2317034041669697,2.3527708396959977,0.03721660389654306,0.038693145672246264,0.9618397070062388,46.50398821174886,19.249370976982192,22.672339578332455,-3.422968601350263,28.41124924399714,1.3623866462377374,0.2149711224389752,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,2.124,False,other,-0.2149711224389752,-0.7443829169362433,1.5315744595732577,-0.08253094910591478,1.3703560954076572,6.744301567594525,False,executed_short1_adverse
-656.43209743,10939,11034,1.541,2.135,20908717.99319118,,-391.12718806849625,1.20652219507634,-0.3866567164179104,2025-10-22 04:00:00+00:00,2025-11-07 00:00:00+00:00,15 days 20:00:00,Short1,short,False,True,1.559,1.571,1.526,1.541,1.5625847409619955,1.6087077636319604,1.9571631052628118,0.04720500561330046,0.04582996423126941,1.0300031083396062,46.13418215430222,20.20149012496391,28.888746706563214,-8.687256581599303,23.522759012046286,1.4343344048429307,0.45725534149526464,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,1.517,False,other,-0.45725534149526464,-0.7988085827350472,0.5084206576863067,-0.019467878001297876,1.715919719691283,1.1863148679347157,False,executed_short1_adverse
-658.1662605600001,11189,11370,1.531,1.489,7326607.846698639,,26.64915189007428,0.9938310534456,0.026446766819072362,2025-12-02 20:00:00+00:00,2026-01-02 00:00:00+00:00,30 days 04:00:00,Short1,short,True,False,1.538,1.548,1.522,1.531,1.532872521593994,1.5947822388119808,1.7821102855854407,0.042418812090989126,0.04115582926783993,1.0306878234655357,46.94035958928099,21.89758126552355,22.235784139208263,-0.3382028736847147,24.053147589524194,1.5036309521154623,0.04414365942114312,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,1.429,False,other,-0.04414365942114312,-1.1028653681209173,2.4045935039672495,0.025473546701502238,2.1452745966766655,2.145274596676671,False,executed_short1_adverse
-1073.39606312,11771,11814,0.939,0.9699999999999999,4141101.3568466906,,-34.29983449896795,1.0245565422480398,-0.03403035143769948,2026-03-09 20:00:00+00:00,2026-03-17 00:00:00+00:00,7 days 04:00:00,Short1,short,False,True,0.953,0.958,0.932,0.939,0.9546847827009254,0.9700164017941697,1.01180664080181,0.025394540931591734,0.022946025260894787,1.1067076168032366,42.21245554605279,16.065610856403573,17.455216811430056,-1.3896059550264823,22.419705623758247,1.2213806848378277,0.6176438764212113,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,0.92,False,other,-0.6176438764212113,-0.4731883843279442,0.7481923005098791,0.0745473908413205,3.622825876153115,0.6694352162456851,True,executed_short1_followthrough
-1212.48625311,11895,11940,0.831,0.858,2873633.440724634,,-33.76107347472141,1.0239446407513948,-0.033507220216606515,2026-03-30 12:00:00+00:00,2026-04-07 00:00:00+00:00,7 days 12:00:00,Short1,short,False,True,0.845,0.849,0.825,0.831,0.8337537287491283,0.8594405795723828,0.9209404285580267,0.02111971993748669,0.019839474207387,1.0645302247789916,46.66891552101297,19.13686240532711,26.92101963197831,-7.7841572266512,33.76513507999272,1.3466362080825678,0.13038661295127396,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,0.775,False,other,-0.13038661295127396,-0.4943521790670738,2.651550312492643,-0.009626955475330936,1.515171607138651,1.278426043523241,False,executed_short1_adverse
