field,field_type,executed_followthrough_avg,executed_followthrough_median,executed_adverse_avg,executed_adverse_median,executed_delta_follow_minus_adverse,starter_followthrough_avg,starter_followthrough_median,starter_adverse_avg,starter_adverse_median,starter_delta_follow_minus_adverse
entry_exec_distance_atr,numeric,1.1155052253972513,1.1805437597817925,1.2412804747473543,1.3275551166548172,-0.12577524935010298,1.1616595331256736,1.1887572662680614,1.1973496454682153,1.2175433612265874,-0.03569011234254171
entry_short_ema20_gap_atr,numeric,0.4424217523474931,0.4004872896972984,0.39841501146712877,0.40055466541215956,0.044006740880364326,0.45540325316131375,0.43042377089060213,0.40075540900664786,0.3955597223685611,0.05464784415466589
entry_atr_ratio,numeric,0.9970995045345176,0.9699150681152005,1.0126160302136324,0.9935399575138815,-0.015516525679114879,1.0107603773834755,0.9848913384500497,1.017342956621978,0.996848815689099,-0.006582579238502584
entry_adx,numeric,24.537588195260575,22.88069927247729,27.111466435016396,25.556948432989216,-2.573878239755821,24.412010188591136,22.795826666995467,26.49824569419824,25.08574452230944,-2.086235505607103
entry_plus_di,numeric,16.734943538080227,17.03607617983211,16.94448268880022,16.934111451574815,-0.20953915071999418,16.226528322624635,16.12602014144291,16.75476621774599,16.899091168730937,-0.5282378951213538
entry_minus_di,numeric,24.146634321207905,23.920617123661984,23.904285008563797,23.635413539701574,0.24234931264410875,24.280604607212272,23.89151864401152,23.248423557210725,23.14500318085589,1.0321810500015474
entry_di_spread,numeric,-7.411690783127673,-7.171451206863612,-6.959802319763572,-6.324732289417676,-0.45188846336410116,-8.054076284587635,-7.74878040855961,-6.493657339464736,-5.781768402938357,-1.5604189451228994
entry_rsi,numeric,44.66369260979722,45.14010076699831,44.7058058075426,44.85715020640728,-0.0421131977453868,44.39655851113722,44.65717506673113,44.628277011575044,44.866521664116604,-0.23171850043782172
fwd_24bar_short_return,numeric,0.048182684148071614,0.0335128665469779,-0.056656234834710106,-0.03958329990854975,0.10483891898278172,0.05636973556232264,0.0384496669789959,-0.04738353205872319,-0.0371675995099569,0.10375326762104584
fwd_24bar_mfe_atr,numeric,4.981018966598785,3.761563513502247,1.268566235507175,1.0269339457395952,3.71245273109161,4.9125393701927225,4.3659081201754315,1.2151024497818834,0.957073939101029,3.697436920410839
fwd_24bar_mae_atr,numeric,1.0100095522237456,0.7302644556867323,5.127973840870681,3.16783918743832,-4.117964288646936,0.9718743345884007,0.7477810489838865,4.37386070609869,3.5163751617466903,-3.4019863715102896
mfe_minus_mae_atr,numeric,3.9710094143750383,2.479492969901397,-3.859407605363508,-1.9900105043551617,7.830417019738546,3.940665035604322,3.276525541281246,-3.158758256316806,-2.3902605540665363,7.099423291921128
mae_to_mfe_ratio,numeric,0.32235281499016366,0.2386363636363644,21.449477088795586,3.0478068528024744,-21.12712427380542,0.2792965805341143,0.1806126790526168,15.943165795082244,3.138931382638445,-15.66386921454813
entry_exec_bear_structure,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_exec_slope_down,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_exec_adx_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_exec_atr_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_exec_distance_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_distance_cap_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_ema20_proximity_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_exec_bear_momentum,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_squeeze_risk,boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entry_short_squeeze_pass,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_pullback,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_resumption,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
entry_short_resumption_strong,boolean,0.5081967213114754,1.0,0.3829787234042553,0.0,0.1252179979072201,0.4659090909090909,0.0,0.35906040268456374,0.0,0.10684868822452714
entry_starter_short_signal,boolean,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
executed_short1,starter_context_boolean,,,,,,0.3465909090909091,0.0,0.31543624161073824,0.0,0.031154667480170872
blocked_by_open_trade_context,starter_context_boolean,,,,,,0.6534090909090909,1.0,0.6845637583892618,1.0,-0.031154667480170817
