field,candidate_tier,executed_consistency,starter_consistency,executed_contradicting_markets,starter_contradicting_markets,note
entry_short_ema20_gap_atr,stable_both_populations,10/11,10/11,LTCUSDT,NEARUSDT,stable both
entry_adx,executed_only,11/11,8/11,,"ATOMUSDT,DOTUSDT,NEARUSDT",weaker because not stable in both populations
entry_exec_distance_atr,executed_only,10/11,6/11,DOTUSDT,"ADAUSDT,ETCUSDT,LTCUSDT,NEARUSDT,XRPUSDT",weaker because not stable in both populations
entry_atr_ratio,executed_only,9/11,6/11,"ADAUSDT,FILUSDT","ATOMUSDT,DOGEUSDT,FILUSDT,UNIUSDT,XRPUSDT",weaker because not stable in both populations
entry_plus_di,starter_only,7/11,9/11,"ADAUSDT,ATOMUSDT,DOTUSDT,UNIUSDT","ADAUSDT,ETCUSDT",weaker because not stable in both populations
entry_short_resumption_strong,weak_or_inconsistent,8/11,8/11,"FILUSDT,LTCUSDT,XRPUSDT","ATOMUSDT,FILUSDT,XRPUSDT",weaker because not stable in both populations
entry_di_spread,weak_or_inconsistent,7/11,8/11,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT","AAVEUSDT,ADAUSDT,UNIUSDT",weaker because not stable in both populations
entry_minus_di,weak_or_inconsistent,7/11,8/11,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT","AAVEUSDT,FILUSDT,UNIUSDT",weaker because not stable in both populations
entry_rsi,weak_or_inconsistent,8/11,7/11,"ATOMUSDT,NEARUSDT,UNIUSDT","ATOMUSDT,DOGEUSDT,NEARUSDT,UNIUSDT",weaker because not stable in both populations
executed_short1,weak_or_inconsistent,0/0,5/11,,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",weaker because not stable in both populations
blocked_by_open_trade_context,weak_or_inconsistent,0/0,5/11,,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",weaker because not stable in both populations
entry_exec_bear_structure,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_exec_slope_down,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_exec_adx_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_exec_atr_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_exec_distance_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_distance_cap_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_ema20_proximity_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_exec_bear_momentum,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_squeeze_risk,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_squeeze_pass,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_pullback,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_short_resumption,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
entry_starter_short_signal,weak_or_inconsistent,0/0,0/0,,,weaker because not stable in both populations
