field,field_type,executed_aggregate_direction,starter_aggregate_direction,executed_consistent_markets,executed_testable_markets,executed_consistency_share,executed_contradicting_markets,starter_consistent_markets,starter_testable_markets,starter_consistency_share,starter_contradicting_markets,works_executed_only,works_starter_only,works_both_populations
entry_exec_distance_atr,numeric,lower_in_followthrough,lower_in_followthrough,10,11,0.9090909090909091,DOTUSDT,6,11,0.5454545454545454,"ADAUSDT,ETCUSDT,LTCUSDT,NEARUSDT,XRPUSDT",True,False,False
entry_short_ema20_gap_atr,numeric,higher_in_followthrough,higher_in_followthrough,10,11,0.9090909090909091,LTCUSDT,10,11,0.9090909090909091,NEARUSDT,False,False,True
entry_atr_ratio,numeric,lower_in_followthrough,lower_in_followthrough,9,11,0.8181818181818182,"ADAUSDT,FILUSDT",6,11,0.5454545454545454,"ATOMUSDT,DOGEUSDT,FILUSDT,UNIUSDT,XRPUSDT",True,False,False
entry_adx,numeric,lower_in_followthrough,lower_in_followthrough,11,11,1.0,,8,11,0.7272727272727273,"ATOMUSDT,DOTUSDT,NEARUSDT",True,False,False
entry_plus_di,numeric,lower_in_followthrough,lower_in_followthrough,7,11,0.6363636363636364,"ADAUSDT,ATOMUSDT,DOTUSDT,UNIUSDT",9,11,0.8181818181818182,"ADAUSDT,ETCUSDT",False,True,False
entry_minus_di,numeric,higher_in_followthrough,higher_in_followthrough,7,11,0.6363636363636364,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT",8,11,0.7272727272727273,"AAVEUSDT,FILUSDT,UNIUSDT",False,False,False
entry_di_spread,numeric,lower_in_followthrough,lower_in_followthrough,7,11,0.6363636363636364,"AAVEUSDT,ADAUSDT,LTCUSDT,UNIUSDT",8,11,0.7272727272727273,"AAVEUSDT,ADAUSDT,UNIUSDT",False,False,False
entry_rsi,numeric,lower_in_followthrough,lower_in_followthrough,8,11,0.7272727272727273,"ATOMUSDT,NEARUSDT,UNIUSDT",7,11,0.6363636363636364,"ATOMUSDT,DOGEUSDT,NEARUSDT,UNIUSDT",False,False,False
fwd_24bar_short_return,numeric,higher_in_followthrough,higher_in_followthrough,11,11,1.0,,11,11,1.0,,False,False,True
fwd_24bar_mfe_atr,numeric,higher_in_followthrough,higher_in_followthrough,11,11,1.0,,11,11,1.0,,False,False,True
fwd_24bar_mae_atr,numeric,lower_in_followthrough,lower_in_followthrough,11,11,1.0,,11,11,1.0,,False,False,True
mfe_minus_mae_atr,numeric,higher_in_followthrough,higher_in_followthrough,11,11,1.0,,11,11,1.0,,False,False,True
mae_to_mfe_ratio,numeric,lower_in_followthrough,lower_in_followthrough,11,11,1.0,,11,11,1.0,,False,False,True
entry_exec_bear_structure,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_exec_slope_down,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_exec_adx_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_exec_atr_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_exec_distance_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_distance_cap_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_ema20_proximity_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_exec_bear_momentum,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_squeeze_risk,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_squeeze_pass,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_pullback,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_resumption,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
entry_short_resumption_strong,boolean,higher_in_followthrough,higher_in_followthrough,8,11,0.7272727272727273,"FILUSDT,LTCUSDT,XRPUSDT",8,11,0.7272727272727273,"ATOMUSDT,FILUSDT,XRPUSDT",False,False,False
entry_starter_short_signal,boolean,not_applicable,not_applicable,0,0,,,0,0,,,False,False,False
executed_short1,starter_context_boolean,not_applicable,higher_in_followthrough,0,0,,,5,11,0.45454545454545453,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",False,False,False
blocked_by_open_trade_context,starter_context_boolean,not_applicable,lower_in_followthrough,0,0,,,5,11,0.45454545454545453,"AAVEUSDT,DOGEUSDT,FILUSDT,LTCUSDT,UNIUSDT,XRPUSDT",False,False,False
