symbol,executed_followthrough_count,executed_adverse_count,starter_followthrough_count,starter_adverse_count,exec_delta_entry_short_ema20_gap_atr,starter_delta_entry_short_ema20_gap_atr,exec_delta_entry_adx,starter_delta_entry_adx,exec_delta_entry_exec_distance_atr,starter_delta_entry_exec_distance_atr,exec_delta_entry_atr_ratio,starter_delta_entry_atr_ratio,exec_delta_entry_plus_di,starter_delta_entry_plus_di,exec_delta_entry_short_resumption_strong,starter_delta_entry_short_resumption_strong,exec_delta_entry_di_spread,starter_delta_entry_di_spread,exec_delta_entry_minus_di,starter_delta_entry_minus_di,exec_delta_entry_rsi,starter_delta_entry_rsi,starter_delta_executed_short1,starter_delta_blocked_by_open_trade_context,exec_delta_entry_exec_bear_structure,starter_delta_entry_exec_bear_structure
AAVEUSDT,2,8,7,15,0.10939437795689061,0.07300057242681729,-6.428509406148127,-6.766105552502868,-0.3874356270116015,-0.19324731692110841,-0.03007331257177226,-0.05412788638569965,-1.661479677815585,-1.353242455019327,0.0,0.17142857142857137,2.8708405250118556,0.2932476545462137,-4.532320202827435,-1.6464901095655478,-0.921179929110366,-0.5066400663309878,-0.24761904761904763,0.24761904761904763,0.0,0.0
ADAUSDT,6,7,10,26,0.08868725282774637,0.16660079673805045,-4.970910770612697,-4.413908253754084,-0.0891876686108255,0.03285176707972881,0.008178499867969036,-0.02405543722961223,0.5650974435448539,1.4567437522997988,0.2142857142857143,0.05384615384615388,1.642657431270429,0.8328129954081005,-1.0775599877255821,0.6239307568916992,-0.39917416958848406,-1.3181962967947456,0.33076923076923076,-0.3307692307692307,0.0,0.0
ATOMUSDT,7,11,18,38,0.03241722661335028,0.013819489097407767,-2.281585607483354,2.3881936730654942,-0.04479735384814276,-0.05179146024273895,-0.0033743363440923435,0.008314854091811985,1.658685948831634,-0.40074255091510125,0.012987012987012991,-0.1374269005847953,-1.9422390392422875,-4.560844669822018,3.600924988073917,4.1601021189069165,0.8566890021851492,0.2013430971354495,0.09941520467836257,-0.09941520467836251,0.0,0.0
DOGEUSDT,3,8,18,38,0.057633948369500754,0.06029178571388827,-0.4411603742028021,-5.313306389472437,-0.030294027446082117,-0.11093053748584913,-0.02061157616185516,0.020094619845699047,-0.9696818525377928,-0.6524714579495203,0.41666666666666663,0.40350877192982454,-1.2024701593777927,-2.034702862567899,0.2327883068400034,1.3822314046183806,-0.10131187658301855,0.30763685858899237,-0.043859649122807015,0.04385964912280704,0.0,0.0
DOTUSDT,11,7,33,30,0.057610595013309784,0.037282420334147526,-1.240923574735458,0.304771180043641,0.08743636445298009,-0.024688098998647545,-0.02194276773430537,-0.010293743950157141,0.6874803961128304,-0.8667784782392349,0.3896103896103897,0.18181818181818182,-0.12948842078364642,-2.337507265923488,0.8169688168964804,1.4707287876842585,-0.8507211886569763,-0.27237351788607356,0.09999999999999998,-0.10000000000000009,0.0,0.0
ETCUSDT,4,6,11,18,0.14459011841823705,0.09080239537154688,-4.086004557597825,-2.908128358155601,-0.14884888898427362,0.03299853691659815,-0.045155847296366014,-0.018008751623515007,-0.567407494251654,0.40586595638901457,0.16666666666666663,0.19191919191919193,-1.259669810756784,-1.4161865638532225,0.6922623165051291,1.8220525202422344,-0.14608558502180813,-0.1967017404682423,0.03030303030303033,-0.030303030303030276,0.0,0.0
FILUSDT,6,17,21,53,0.006248836476344666,0.09483603400979379,-1.6097356749704055,-3.8923945880371313,-0.25930296316618495,-0.13543521292497296,0.05026484467513126,0.0021001197118475368,-1.8969835837742668,-0.9278833407922065,-0.24509803921568626,-0.053908355795148244,-2.171604091825582,-0.7466946724478376,0.27462050805131355,-0.18118866834437952,-0.04789980578001973,-0.623508617187376,-0.03504043126684636,0.03504043126684642,0.0,0.0
LTCUSDT,3,9,9,25,-0.08117159619872844,0.08199735980223538,-3.796508865437204,-0.1776192949555373,-0.20967775648345666,0.0670619941774202,-0.06174838611461808,-0.046490548048418345,-0.9000814920622098,-2.4710123794546686,-0.3333333333333333,0.20444444444444443,1.4663776147109697,-3.140145574278165,-2.366459106773185,0.6691331948234911,-0.18674083689992216,-1.582737283146109,-0.026666666666666672,0.026666666666666616,0.0,0.0
NEARUSDT,7,4,15,13,0.025986519341492598,-0.016865600223642696,-0.5703371623704712,0.4483292660834266,-0.2624717197947928,0.1289054969718344,-0.0170625849675059,-0.015712629099081,-2.289723509565359,-1.9258640042973667,0.3214285714285714,0.1487179487179487,-3.463868503981157,-3.1572723938191047,1.1741449944158013,1.2314083895217323,0.7242080934114057,0.1356947937594697,0.15897435897435896,-0.15897435897435896,0.0,0.0
UNIUSDT,7,9,19,23,0.00789118562076141,0.02590357260887316,-4.768319859083661,-5.941982284737609,-0.27558718064945986,-0.19869407004283923,-0.05176233640576677,0.0014841578043691683,0.8248264114232988,-0.04912596746407161,0.12698412698412698,0.16018306636155605,2.075875426144422,1.0907138581990683,-1.251049014721115,-1.139839825663124,0.7825013634639149,0.35126911542111117,-0.022883295194508046,0.022883295194507935,0.0,0.0
XRPUSDT,5,8,15,19,0.00232414388097002,0.0771995657029681,-1.2464499569298226,-0.45253311088826464,-0.18725950753762421,0.08987821005130292,-0.02732691071218274,0.038699804502495994,-0.6192476832721212,-0.9037049100486989,-0.04999999999999999,-0.14035087719298245,-4.100722230940634,-1.3460744738062633,3.481474547668512,0.4423695637575591,-0.030867057891477145,-0.7746091034395945,-0.08771929824561403,0.08771929824561397,0.0,0.0
