base_population,path_bucket,count,count_share,avg_fwd_24bar_short_return,median_fwd_24bar_short_return,avg_fwd_24bar_mfe_atr,avg_fwd_24bar_mae_atr,avg_mfe_minus_mae_atr,failed_no_followthrough_exploratory_count,delayed_after_initial_followthrough_count,executed_count,blocked_count,winner_count,loser_nonpositive_count,avg_pnl,median_pnl
executed_short1,ALL,155,1.0,-0.015397047364066973,-0.0034624262631443,2.7295960200012916,3.507355636951565,-0.777759616950273,44,16,155,,53.0,102.0,-18.03670374725347,-35.11952406311718
executed_short1,clean_followthrough,61,0.3935483870967742,0.048182684148071614,0.0335128665469779,4.981018966598785,1.0100095522237456,3.9710094143750383,0,0,61,,36.0,25.0,42.19280779685967,13.109204045458483
executed_short1,weak_followthrough,11,0.07096774193548387,0.02464387401811888,0.017038777908343,1.4451237169052484,2.7272903235692674,-1.282166606664019,0,0,11,,4.0,7.0,-12.662636116056593,-5.108591070482853
executed_short1,adverse_dominant,66,0.4258064516129032,-0.08058292935155849,-0.06247200547946505,0.908952168766388,6.504141662149933,-5.595189493383545,43,0,66,,9.0,57.0,-71.87634185254322,-82.77563117846756
executed_short1,failed_no_followthrough,1,0.0064516129032258064,-0.0025370804059327,-0.0025370804059327,0.9297604804994726,0.910785776815807,0.0189747036836656,1,0,1,,0.0,1.0,-102.49048629861512,-102.49048629861512
executed_short1,mixed_chop,16,0.1032258064516129,-0.01723489194082902,-0.014055032868321899,2.6517663520397265,1.3653257502419205,1.286440601797806,0,16,16,,4.0,12.0,-23.989519411852346,-40.79487886548566
starter_short_signal,ALL,474,1.0,-0.008859112013777903,-0.00541252249158955,2.58799042022979,3.1106758930484557,-0.5226854728186658,149,29,155,319.0,,,,
starter_short_signal,clean_followthrough,176,0.37130801687763715,0.05636973556232264,0.0384496669789959,4.9125393701927225,0.9718743345884007,3.940665035604322,0,0,61,115.0,,,,
starter_short_signal,weak_followthrough,41,0.08649789029535865,0.02441915981484136,0.0165232620117262,1.7358702027924389,3.2438595405359094,-1.507989337743471,0,0,11,30.0,,,,
starter_short_signal,adverse_dominant,227,0.47890295358649787,-0.06428011599534662,-0.0498877525567472,0.9273041696569371,4.962620185614389,-4.035316015957452,148,0,66,161.0,,,,
starter_short_signal,failed_no_followthrough,1,0.002109704641350211,-0.0025370804059327,-0.0025370804059327,0.9297604804994726,0.910785776815807,0.0189747036836656,1,0,1,0.0,,,,
starter_short_signal,mixed_chop,29,0.06118143459915612,-0.01818464463994448,-0.013126491646778,2.7414498182030047,1.4822993566950002,1.259150461508004,0,29,16,13.0,,,,
