base_population,field,display_field,bucket,count,avg,median
executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,mixed_chop,16,0.4697490700209479,0.49576365258822525
executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,weak_followthrough,11,0.45492389934539634,0.4586767362345866
executed_short1,entry_short_ema20_gap_atr,entry_short_ema20_gap_atr,unresolved_non_clean,27,0.4637091856716491,0.4909274146620146
executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,mixed_chop,16,1.2501037092964395,1.341788965041656
executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,weak_followthrough,11,1.3601290978501135,1.41554349419843
executed_short1,entry_exec_distance_atr,entry_exec_distance_atr,unresolved_non_clean,27,1.2949288675960844,1.4018055965642235
executed_short1,entry_adx,entry_adx,mixed_chop,16,26.989963742787175,25.563706405137374
executed_short1,entry_adx,entry_adx,weak_followthrough,11,24.95871614367587,23.60661249678235
executed_short1,entry_adx,entry_adx,unresolved_non_clean,27,26.162418424630715,24.906158157997837
executed_short1,entry_atr_ratio,entry_atr_ratio,mixed_chop,16,0.9808637760710968,0.9793236878389466
executed_short1,entry_atr_ratio,entry_atr_ratio,weak_followthrough,11,1.0062783921042449,1.014176583048105
executed_short1,entry_atr_ratio,entry_atr_ratio,unresolved_non_clean,27,0.9912178788994164,0.9837886295368348
executed_short1,entry_plus_di,plus_di,mixed_chop,16,17.13624659606871,16.957478554398897
executed_short1,entry_plus_di,plus_di,weak_followthrough,11,17.595345061703032,17.207284184933837
executed_short1,entry_plus_di,plus_di,unresolved_non_clean,27,17.323286711697513,17.207284184933837
executed_short1,entry_minus_di,minus_di,mixed_chop,16,24.969025936062806,26.75300926563195
executed_short1,entry_minus_di,minus_di,weak_followthrough,11,23.473923406068085,22.81892643375533
executed_short1,entry_minus_di,minus_di,unresolved_non_clean,27,24.359910090509402,24.513818878736924
executed_short1,entry_di_spread,di_spread,mixed_chop,16,-7.8327793399940955,-7.947767169029054
executed_short1,entry_di_spread,di_spread,weak_followthrough,11,-5.878578344365054,-6.232355424776081
executed_short1,entry_di_spread,di_spread,unresolved_non_clean,27,-7.036623378811892,-7.305546000802741
executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,mixed_chop,16,0.625,1.0
executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,weak_followthrough,11,0.5454545454545454,1.0
executed_short1,entry_short_resumption_strong,entry_short_resumption_strong,unresolved_non_clean,27,0.5925925925925926,1.0
executed_short1,entry_short_resumption,entry_short_resumption,mixed_chop,16,1.0,1.0
executed_short1,entry_short_resumption,entry_short_resumption,weak_followthrough,11,1.0,1.0
executed_short1,entry_short_resumption,entry_short_resumption,unresolved_non_clean,27,1.0,1.0
executed_short1,entry_short_pullback,entry_short_pullback,mixed_chop,16,1.0,1.0
executed_short1,entry_short_pullback,entry_short_pullback,weak_followthrough,11,1.0,1.0
executed_short1,entry_short_pullback,entry_short_pullback,unresolved_non_clean,27,1.0,1.0
executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,mixed_chop,16,1.0,1.0
executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,weak_followthrough,11,1.0,1.0
executed_short1,entry_exec_bear_momentum,entry_exec_bear_momentum,unresolved_non_clean,27,1.0,1.0
executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,mixed_chop,16,0.0,0.0
executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,weak_followthrough,11,0.0,0.0
executed_short1,entry_short_squeeze_risk,entry_short_squeeze_risk,unresolved_non_clean,27,0.0,0.0
executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,mixed_chop,16,1.0,1.0
executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,weak_followthrough,11,1.0,1.0
executed_short1,entry_short_squeeze_pass,entry_short_squeeze_pass,unresolved_non_clean,27,1.0,1.0
executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,mixed_chop,16,1.0,1.0
executed_short1,entry_exec_bear_structure,entry_exec_bear_structure,weak_followthrough,11,1.0,1.0
