symbol,base_population,clean_followthrough_count,adverse_dominant_count,mixed_chop_count,weak_followthrough_count,unresolved_non_clean_count,failed_no_followthrough_excluded_count,sample_too_small_to_interpret,clean_like_field_votes,adverse_like_field_votes,mixed_like_field_votes,weak_like_field_votes,tie_votes,not_testable_votes,unresolved_non_clean_affinity,field_affinity_detail
FILUSDT,executed_short1,6,11,3,3,6,0,False,1,3,0,0,15,0,adverse_dominant,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:tie;fwd_24bar_mae_atr:tie;mfe_minus_mae_atr:tie;entry_short_ema20_gap_atr:tie;entry_exec_distance_atr:tie;entry_adx:clean_followthrough;entry_atr_ratio:tie;entry_plus_di:adverse_dominant;entry_minus_di:adverse_dominant;entry_di_spread:adverse_dominant;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOTUSDT,executed_short1,11,4,3,0,3,0,False,0,0,12,0,7,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:mixed_chop;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ATOMUSDT,executed_short1,7,7,3,1,4,0,False,2,1,8,0,8,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:clean_followthrough;entry_plus_di:mixed_chop;entry_minus_di:adverse_dominant;entry_di_spread:clean_followthrough;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
UNIUSDT,executed_short1,7,5,0,4,4,0,False,0,0,0,12,7,0,weak_followthrough,fwd_24bar_short_return:weak_followthrough;fwd_24bar_mfe_atr:weak_followthrough;fwd_24bar_mae_atr:weak_followthrough;mfe_minus_mae_atr:weak_followthrough;entry_short_ema20_gap_atr:weak_followthrough;entry_exec_distance_atr:weak_followthrough;entry_adx:weak_followthrough;entry_atr_ratio:weak_followthrough;entry_plus_di:weak_followthrough;entry_minus_di:weak_followthrough;entry_di_spread:weak_followthrough;entry_short_resumption_strong:weak_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ADAUSDT,executed_short1,6,5,2,0,2,0,False,0,0,11,0,8,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
XRPUSDT,executed_short1,5,6,1,1,2,0,False,4,1,0,0,14,0,clean_followthrough,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:tie;fwd_24bar_mae_atr:tie;mfe_minus_mae_atr:tie;entry_short_ema20_gap_atr:clean_followthrough;entry_exec_distance_atr:clean_followthrough;entry_adx:tie;entry_atr_ratio:tie;entry_plus_di:clean_followthrough;entry_minus_di:tie;entry_di_spread:adverse_dominant;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
LTCUSDT,executed_short1,3,7,1,0,1,1,False,0,0,11,0,8,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
DOGEUSDT,executed_short1,3,8,0,0,0,0,True,0,0,0,0,0,19,sample_too_small_no_unresolved_non_clean,fwd_24bar_short_return:not_testable;fwd_24bar_mfe_atr:not_testable;fwd_24bar_mae_atr:not_testable;mfe_minus_mae_atr:not_testable;entry_short_ema20_gap_atr:not_testable;entry_exec_distance_atr:not_testable;entry_adx:not_testable;entry_atr_ratio:not_testable;entry_plus_di:not_testable;entry_minus_di:not_testable;entry_di_spread:not_testable;entry_short_resumption_strong:not_testable;entry_short_resumption:not_testable;entry_short_pullback:not_testable;entry_exec_bear_momentum:not_testable;entry_short_squeeze_risk:not_testable;entry_short_squeeze_pass:not_testable;entry_exec_bear_structure:not_testable;entry_exec_slope_down:not_testable
NEARUSDT,executed_short1,7,2,1,1,2,0,False,1,3,0,0,15,0,adverse_dominant,fwd_24bar_short_return:tie;fwd_24bar_mfe_atr:tie;fwd_24bar_mae_atr:adverse_dominant;mfe_minus_mae_atr:adverse_dominant;entry_short_ema20_gap_atr:tie;entry_exec_distance_atr:adverse_dominant;entry_adx:tie;entry_atr_ratio:tie;entry_plus_di:tie;entry_minus_di:tie;entry_di_spread:tie;entry_short_resumption_strong:clean_followthrough;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
ETCUSDT,executed_short1,4,5,1,0,1,0,False,0,0,11,0,8,0,mixed_chop,fwd_24bar_short_return:mixed_chop;fwd_24bar_mfe_atr:mixed_chop;fwd_24bar_mae_atr:mixed_chop;mfe_minus_mae_atr:mixed_chop;entry_short_ema20_gap_atr:mixed_chop;entry_exec_distance_atr:mixed_chop;entry_adx:mixed_chop;entry_atr_ratio:mixed_chop;entry_plus_di:mixed_chop;entry_minus_di:mixed_chop;entry_di_spread:mixed_chop;entry_short_resumption_strong:tie;entry_short_resumption:tie;entry_short_pullback:tie;entry_exec_bear_momentum:tie;entry_short_squeeze_risk:tie;entry_short_squeeze_pass:tie;entry_exec_bear_structure:tie;entry_exec_slope_down:tie
