market,feature,computable,source,scope,unit_requirement,limitation
AAVEUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AAVEUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AAVEUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AAVEUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
AAVEUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
AAVEUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
ADAUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ADAUSDT,taker_sell_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ADAUSDT,taker_imbalance,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ADAUSDT,taker_delta,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
ADAUSDT,abnormal_turnover,True,sum of taker buy and sell volume as turnover proxy,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,rolling median window must be frozen later,not validated and not exact instrument
ADAUSDT,range_volume_impulse,not_from_taker_flow_alone,requires OHLCV candle range plus audited volume,future_plan_only,OHLCV range alignment required later,not computed in availability audit
ATOMUSDT,taker_buy_ratio,True,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,buy and sell volumes share same endpoint unit,ccy/contracts aggregate not proven exact instrument
