market,okx_inst_id,ccxt_symbol,direct_taker_buy_volume_available,direct_taker_sell_volume_available,buy_sell_ratio_available_directly,taker_volume_ratio_available_directly,aggregated_long_short_taker_volume_available,public_trade_reconstructable_sample,source_scope,earliest_timestamp,latest_timestamp,row_count,sampling_interval,fields_returned,units,raw_data_path,usability_class
AAVEUSDT,AAVE-USDT-SWAP,AAVE/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
ADAUSDT,ADA-USDT-SWAP,ADA/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
ATOMUSDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,True,True,False,False,True,False,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
AVAXUSDT,AVAX-USDT-SWAP,AVAX/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
BCHUSDT,BCH-USDT-SWAP,BCH/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
BNBUSDT,BNB-USDT-SWAP,BNB/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
BTCUSDT,BTC-USDT-SWAP,BTC/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
DOGEUSDT,DOGE-USDT-SWAP,DOGE/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
DOTUSDT,DOT-USDT-SWAP,DOT/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
ETCUSDT,ETC-USDT-SWAP,ETC/USDT:USDT,True,True,False,False,True,True,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
ETHUSDT,ETH-USDT-SWAP,ETH/USDT:USDT,True,True,False,False,True,False,ccy_contracts_aggregate_instid_not_honored_or_not_distinguishable,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,720,60m,timestamp; endpoint data[1] sell volume; endpoint data[2] buy volume,OKX Rubik CONTRACTS taker-volume arrays data[1]/data[2] are endpoint-defined sell/buy volume; exact unit/cross-market denomination requires source documentation; not proven exact instId,research_output/taker_flow_data_availability_audit_round1_raw/okx_rubik_contracts_taker_volume_1h_by_ccy.jsonl,partially_usable_short_history
