market,okx_inst_id,source,row_count,earliest_timestamp,latest_timestamp,sampling_interval,gap_count,duplicate_timestamps,max_gap_minutes,timezone,notes
AAVEUSDT,AAVE-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
ADAUSDT,ADA-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
ATOMUSDT,ATOM-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
AVAXUSDT,AVAX-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
BCHUSDT,BCH-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
BNBUSDT,BNB-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
BTCUSDT,BTC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
DOGEUSDT,DOGE-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
DOTUSDT,DOT-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
ETCUSDT,ETC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
ETHUSDT,ETH-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
FILUSDT,FIL-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
LINKUSDT,LINK-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
LTCUSDT,LTC-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
NEARUSDT,NEAR-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
SOLUSDT,SOL-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
TRXUSDT,TRX-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
UNIUSDT,UNI-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T04:00:00+00:00,2026-05-24T03:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
XRPUSDT,XRP-USDT-SWAP,okx_rubik_stat_taker_volume_contracts_by_ccy_1h,720,2026-04-24T05:00:00+00:00,2026-05-24T04:00:00+00:00,60m,0,0,60,UTC_epoch_ms,gap count relative to modal historical interval; route is ccy/contracts aggregate
