spot_style_symbol,base_asset,quote_asset,okx_swap_inst_id,ccxt_symbol,visibility_requirement,audit_status
AAVEUSDT,AAVE,USDT,AAVE-USDT-SWAP,AAVE/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
ADAUSDT,ADA,USDT,ADA-USDT-SWAP,ADA/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
ATOMUSDT,ATOM,USDT,ATOM-USDT-SWAP,ATOM/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
AVAXUSDT,AVAX,USDT,AVAX-USDT-SWAP,AVAX/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
BCHUSDT,BCH,USDT,BCH-USDT-SWAP,BCH/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
BNBUSDT,BNB,USDT,BNB-USDT-SWAP,BNB/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
BTCUSDT,BTC,USDT,BTC-USDT-SWAP,BTC/USDT:USDT,required_visible_anchor_and_market,included_same_19_market_universe
DOGEUSDT,DOGE,USDT,DOGE-USDT-SWAP,DOGE/USDT:USDT,required_visible_prior_weak_market,included_same_19_market_universe
DOTUSDT,DOT,USDT,DOT-USDT-SWAP,DOT/USDT:USDT,required_visible_prior_weak_market,included_same_19_market_universe
ETCUSDT,ETC,USDT,ETC-USDT-SWAP,ETC/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
ETHUSDT,ETH,USDT,ETH-USDT-SWAP,ETH/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
FILUSDT,FIL,USDT,FIL-USDT-SWAP,FIL/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
LINKUSDT,LINK,USDT,LINK-USDT-SWAP,LINK/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
LTCUSDT,LTC,USDT,LTC-USDT-SWAP,LTC/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
NEARUSDT,NEAR,USDT,NEAR-USDT-SWAP,NEAR/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
SOLUSDT,SOL,USDT,SOL-USDT-SWAP,SOL/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
TRXUSDT,TRX,USDT,TRX-USDT-SWAP,TRX/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
UNIUSDT,UNI,USDT,UNI-USDT-SWAP,UNI/USDT:USDT,required_visible_prior_weak_market,included_same_19_market_universe
XRPUSDT,XRP,USDT,XRP-USDT-SWAP,XRP/USDT:USDT,required_visible_same_19_market_universe,included_same_19_market_universe
